Roger Trachsler,1353.9703035543,21
Reinhold Meister,0,7
Yasin Sahin,0,14
Alexander Riedl,1511.8007598547,94
Róbert Ikervári,1515.0518015716,92
Johannes Riml,1518.0203475961,128
Gian-andrea Lombris,0,0
Dejan Peruci,1385.1736400448,41
David Ziemann,1602.1452111239,75
Prem Wysoudil,0,5
Refik Yucel,1615.8043642314,34
Christian Löffler,1515.0990468664,107
Yannik Hansen,1529.0882608176,75
Michaela Klass,1307.4607869128,29
Laurin Breuer,1302.8096448727,175
Nicole Gabriel,1237.6758310549,35
Sophie Künig,1284.0802111335,59
Gustav Bartl,0,13
Chuchrat Compaengjan,0,19
Maan Arslan,0,19
Stefan Seifert,1582.6136582635,284
Esther Mahnig,1377.5145292472,32
Ondrej Haltuf,0,12
Markus Rohn,0,6
Heiko Heil,1207.8315464943,23
Matthew Warr,1522.7921131322,50
Heinz Kiessling,1508.9508138058,78
Stephan Kader,1328.0737714177,93
Wolfgang Breuer,1625.4134972628,180
Raphael Ertl,1468.5938834157,77
Blagovesta Gerova,1539.706684812,92
Frédéric Travers,0,16
Patric Kaiser,0,18
Katharina Berger,1487.581403185,209
Björn Hoffmann,1558.748828013,80
Ramona Boczkaj,0,11
Marina Tabakovic,1704.7804846048,101
Valeriy Sokolov,1364.9017893943,28
Sandra Gäumann,1471.3116075073,98
Igor Pavletic,1200,22
Ulf Gabriel,1257.5107228552,26
Denise Zahnd,1222.7718549125,46
Ladislav Skrobak,0,18
Raffael Hackspiel,1774.8926700551,162
Milosz Krainski,1699.5552448354,28
ANdreas Bellinger,0,6
Thomas Kampitsch,1327.9880890611,37
Andreas Fercher,1607.0880489629,135
Miroslav Vasic,1790.1623559834,127
Claus Scherer,1450.2971004485,171
Adrian Brustein,1483.7632083404,68
Martina Lucan,1291.8712876235,37
Simon Danninger,1535.9191763084,81
Jörg Harms,0,18
Marek Matys,1616.5117642693,26
Dániel Dusa,1528.9099490263,20
Yordan Zaykov,1423.2427213581,22
Pascal Pütz,1422.0880644585,81
Roman Dittrich,0,17
Thomas Kunig,0,13
Fabio Di Santo,1663.8422673734,53
Michael Sätteli,1529.9614069402,57
Jonas Gradinger,1319.2414547457,100
Andreas Gruber,1779.3242563572,304
Anna Galisz,0,18
Christopher Haddon,1383.0896251252,21
Bernhard Kraus,1864.3383279226,220
Peter Gross,1498.284534865,78
Kevin Oesch,1389.6551754504,35
Ali Taleei,1545.1075979274,148
Stephan Kader,1506.538284136,22
Elias Messina,1200,26
Nikita Kuznetsov,1360.7449634632,30
Vitali Haller,0,6
Thomas Grossschedl,0,7
Michael Urschler,0,8
Roope Kivisto,1382.8312890302,62
Marco Kuc,1345.485671694,30
Rene Berthold,0,5
Michel Klaffke,1413.1125816264,60
Vivian Konzett,1391.1241576722,36
Volker Will,0,15
Maurice Klass,1330.6198826306,29
Simon Danninger,1368.4645939353,61
Aleksandra Novkowa,1406.1735866629,23
Markus Langthaler,1529.4201195131,20
Vladimir Mily,0,11
Daniel Schmidler,1567.4447626488,54
Walter Eisenmann,1516.5408407724,91
Daniel Moser,1356.1542243017,81
Petr Pospech,0,14
Bernhard Biermayr,1304.1281531577,187
Thomas Ziegler,1671.4449086788,79
Alan Soliman,0,13
Alexander Ruppert,1432.3813904562,21
Elias Wysser,1467.8049134992,117
Peter Felder,1681.3674379959,88
Benjamin Willfort,1709.6875309362,92
Andreas Teuschl,0,2
Jan Sorgenfrei,0,14
Marek Vovcik,1707.0908305668,61
Michael Köhler,1567.4692103918,37
Tamara Vilim,0,9
Viktoria Ackerl,1394.4582695431,157
Raphael Hampel,1606.4141556435,83
Erik Brustein,1477.8980011515,69
Eva Kogelnik,1330.1181088127,52
Arne Borck,1447.1197371563,25
Gerhard Dörr,1658.5079150011,99
Dejan Kocjancic,1424.5973143321,50
Stephan Wild,1358.5709561831,43
Katja Dwenger,0,19
Sadik Sozdinler,1387.541651416,44
Dávid Orbán,1402.0667362819,30
Alexander Windhager,0,11
George Eid,1309.6904596336,48
David Rudolský,1525.6672001793,31
Desirée Heidenreich,1532.367682771,37
Samuel Klocker,1356.4293855322,27
Geiste Mazeikaite,1203.8857498402,35
Adrienn Kramli,1200.2292293008,125
Oliver Mani,1398.1856361412,68
Florian Hlawiczka,0,6
Pascal Felber,1467.533308929,30
Sandro Scheuner,1362.6374683353,26
Paul Spindelberger,1317.3536931098,34
Karin Fachberger,1349.2839987596,70
Daniel Krausenecker,0,11
Sebastian Bertl,1339.978952126,146
Šimon Vároš,1417.1081891359,33
Eileen Hehner,0,18
Roman Bushuev,1333.2566754297,26
Teemu Koivunen,1471.5369857307,57
Susanne Holocher,1442.9451500554,47
Julia Holler,1302.814691851,142
Norman Waser,1373.2020686682,216
Usman Ahmad,1247.9073155245,21
Gerhard Lendl,1566.3511698723,54
Markus Suppanitz,1551.6352907347,134
Manuel Luger,0,6
Julia Buchegger,0,12
Heinz Aschwanden,1230.5607001795,21
